,State_FIPS_Code,County_FIPS_Code,Diabetes,FluB_Ind,Syphilis_Ind,HepA_Rpt,HepA_Ind,HepA_Exp,HepB_Rpt,HepB_Ind,HepB_Exp,Meas_Ind,Pert_Ind,Pert_Exp,CRS_Ind
52,1,111,8.1,3.0,4.0,4.0,4.0,13.0,3.0,3.0,7.0,3.0,3.0,2.0,3.0
53,1,113,9.7,3.0,4.0,3.0,3.0,7.0,1.0,3.0,10.0,3.0,3.0,5.0,3.0
54,1,115,13.0,4.0,4.0,3.5,3.0,7.0,7.0,4.0,3.0,3.0,3.0,3.0,3.0
55,1,117,4.8,3.0,4.0,22.0,4.0,9.0,1.0,3.0,5.0,3.0,3.0,19.0,3.0
56,1,119,11.8,3.0,4.0,2.0,3.0,17.0,3.0,3.0,5.0,3.0,3.0,2.0,3.0
57,1,121,10.9,3.0,4.0,3.0,3.0,12.0,9.0,3.0,16.0,3.0,3.0,8.0,3.0
58,1,123,5.6,4.0,4.0,1.5,3.0,6.0,3.0,3.0,4.0,3.0,3.0,12.0,3.0
59,1,125,7.9,3.0,3.0,1.0,3.0,15.0,6.0,3.0,20.0,3.0,3.0,20.0,3.0
60,1,127,11.5,3.0,3.0,1.0,3.0,11.0,1.0,3.0,7.0,3.0,3.0,4.0,3.0
61,1,129,10.5,4.0,4.0,3.0,3.0,20.0,2.0,3.0,5.0,3.0,3.0,2.0,3.0
62,1,131,7.6,3.0,3.0,1.0,3.0,9.0,3.0,3.0,4.0,3.0,3.0,8.0,3.0
63,1,133,8.5,3.0,3.0,2.0,3.0,5.0,5.0,3.0,7.0,3.0,4.0,2.0,3.0
64,4,1,7.5,4.0,4.0,4.0,3.0,10.0,1.0,3.0,10.0,3.0,4.0,27.0,3.0
65,4,3,9.1,4.0,3.0,27.0,4.0,14.0,11.0,3.0,14.0,3.0,3.0,7.0,3.0
66,4,5,4.2,4.0,4.0,35.0,4.0,18.0,21.0,4.0,18.0,3.0,3.0,47.0,3.0
67,4,7,8.8,4.0,3.0,7.0,4.0,15.0,12.0,4.0,13.0,3.0,4.0,3.0,3.0
68,4,9,10.9,4.0,4.0,7.0,4.0,8.0,7.0,4.0,7.0,3.0,3.0,7.0,3.0
69,4,11,5.0,4.0,3.0,4.0,4.0,5.0,1.0,4.0,2.0,3.0,3.0,4.0,3.0
70,4,12,8.3,4.0,3.0,21.0,4.0,22.0,4.0,4.0,6.0,3.0,3.0,2.0,4.0
