,State_FIPS_Code,County_FIPS_Code,Diabetes,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Ecol_Rpt_Ind,Salm_Rpt,Salm_Rpt_Ind,Salm_Exp,Shig_Rpt_Ind,Shig_Exp,Carbon_Monoxide_Ind,Nitrogen_Dioxide_Ind,Sulfur_Dioxide_Ind,Ozone_Ind,Particulate_Matter_Ind,Lead_Ind,EH_Time_Span
36,1,77,6.7,Lauderdale,Alabama,AL,21,14143.0,1922.0,3957.0,5087,4340,0,45.0,0,57.0,0,13.0,0,0,0,0,0,0,1999-2003
37,1,79,9.2,Lawrence,Alabama,AL,32,8128.0,811.0,1423.0,1965,1650,0,20.0,1,24.0,0,7.0,0,0,0,0,0,0,1999-2003
38,1,81,7.8,Lee,Alabama,AL,22,12989.0,1982.0,3886.0,6997,7710,0,173.0,1,99.0,1,35.0,0,0,0,0,0,0,1999-2003
39,1,83,8.1,Limestone,Alabama,AL,19,12210.0,1370.0,2864.0,4019,3408,0,19.0,0,50.0,0,13.0,0,0,0,0,0,0,1999-2003
40,1,85,9.6,Lowndes,Alabama,AL,66,2939.0,361.0,462.0,703,634,0,11.0,0,24.0,0,20.0,0,0,0,0,0,0,1994-2003
41,1,87,13.6,Macon,Alabama,AL,44,4027.0,444.0,850.0,1267,1319,0,29.0,1,29.0,1,12.0,0,0,0,0,0,0,1994-2003
42,1,89,6.5,Madison,Alabama,AL,4,28690.0,4944.0,9467.0,16746,14705,0,105.0,0,120.0,0,51.0,0,0,0,0,0,0,2001-2003
43,1,91,11.3,Marengo,Alabama,AL,67,3964.0,453.0,857.0,1193,1055,0,43.0,1,36.0,1,14.0,0,0,0,0,0,0,1994-2003
44,1,93,10.1,Marion,Alabama,AL,49,7912.0,553.0,1450.0,1758,1393,0,32.0,1,20.0,0,6.0,0,0,0,0,0,0,1999-2003
45,1,95,7.2,Marshall,Alabama,AL,22,17599.0,1461.0,3402.0,4779,3984,0,37.0,0,70.0,0,25.0,0,0,0,0,0,0,1999-2003
46,1,97,6.6,Mobile,Alabama,AL,5,59807.0,8140.0,9386.0,21921,19559,0,354.0,1,204.0,1,156.0,0,0,0,1,0,0,2001-2003
47,1,99,8.1,Monroe,Alabama,AL,67,4953.0,538.0,802.0,1299,1132,0,43.0,1,39.0,1,15.0,0,0,0,0,0,0,1994-2003
48,1,101,8.5,Montgomery,Alabama,AL,7,27476.0,4395.0,7028.0,12171,11178,1,186.0,1,127.0,1,120.0,0,0,0,0,0,0,2001-2003
49,1,103,6.7,Morgan,Alabama,AL,14,18217.0,2266.0,4163.0,6428,5407,0,39.0,1,44.0,1,13.0,0,0,0,0,0,0,2001-2003
50,1,107,12.8,Pickens,Alabama,AL,76,4021.0,397.0,872.0,1121,973,0,34.0,0,38.0,0,17.0,0,0,0,0,0,0,1994-2003
51,1,109,11.3,Pike,Alabama,AL,35,5590.0,545.0,1040.0,1668,1638,0,51.0,1,24.0,0,18.0,0,0,0,0,0,0,1999-2003
52,1,111,8.1,Randolph,Alabama,AL,72,5839.0,535.0,956.0,1281,1084,0,23.0,0,33.0,0,9.0,0,0,0,0,0,0,1994-2003
53,1,113,9.7,Russell,Alabama,AL,8,11013.0,1111.0,1938.0,2738,2332,0,48.0,1,49.0,1,25.0,0,0,0,0,0,0,1999-2003
54,1,115,13.0,St. Clair,Alabama,AL,22,14117.0,1135.0,3385.0,4123,3497,0,33.0,0,56.0,1,20.0,0,0,0,0,0,0,1999-2003
55,1,117,4.8,Shelby,Alabama,AL,11,14846.0,2373.0,5133.0,9515,8223,0,40.0,0,56.0,0,19.0,0,0,0,1,0,0,2001-2003
56,1,119,11.8,Sumter,Alabama,AL,66,2941.0,326.0,660.0,751,730,0,19.0,0,27.0,0,23.0,0,0,0,0,0,0,1994-2003
57,1,121,10.9,Talladega,Alabama,AL,8,16423.0,1723.0,4701.0,4547,3867,0,29.0,0,80.0,0,40.0,0,0,0,0,0,0,1999-2003
58,1,123,5.6,Tallapoosa,Alabama,AL,49,8472.0,754.0,1816.0,2338,1906,0,26.0,0,27.0,1,8.0,0,0,0,0,0,0,1999-2003
59,1,125,7.9,Tuscaloosa,Alabama,AL,6,22290.0,2786.0,6263.0,9557,9241,1,123.0,1,80.0,1,50.0,0,0,0,0,0,0,2001-2003
60,1,127,11.5,Walker,Alabama,AL,24,15989.0,1212.0,4106.0,4022,3280,0,57.0,1,49.0,0,25.0,0,0,0,0,0,0,1999-2003
61,1,129,10.5,Washington,Alabama,AL,66,3236.0,392.0,709.0,976,848,0,36.0,1,32.0,0,27.0,0,0,0,0,0,0,1994-2003
