,State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,No_Exercise,CI_Min_No_Exercise,CI_Max_No_Exercise,Few_Fruit_Veg,CI_Min_Fruit_Veg,CI_Max_Fruit_Veg,Obesity,CI_Min_Obesity,CI_Max_Obesity,High_Blood_Pres,CI_Min_High_Blood_Pres,CI_Max_High_Blood_Pres,Smoker,CI_Min_Smoker,CI_Max_Smoker,Diabetes,CI_Min_Diabetes,CI_Max_Diabetes,Uninsured,Elderly_Medicare,Disabled_Medicare,Prim_Care_Phys_Rate,Dentist_Rate,Community_Health_Center_Ind,HPSA_Ind
18,1,37,Coosa,Alabama,AL,41,20.55,12.8,28.3,84.4,75.5,93.2,22.0,14.0,30.049999999999997,26.3,16.95,35.7,21.049999999999997,13.55,28.6,15.0,6.1,24.0,2028.0,1562.0,621.0,9.0,9.0,1.0,1.0
19,1,39,Covington,Alabama,AL,35,28.8,21.1,36.6,73.15,64.9,81.44999999999999,30.2,22.1,38.3,19.25,10.9,27.65,27.8,19.4,36.1,12.1,6.8,17.5,6094.0,6401.0,1583.0,59.5,24.3,1.0,2.0
20,1,41,Crenshaw,Alabama,AL,71,23.25,16.45,30.0,84.6,77.44999999999999,91.7,26.05,18.6,33.5,22.4,14.899999999999999,29.95,21.1,14.3,28.0,7.75,4.1,11.399999999999999,2504.0,2272.0,568.0,14.6,14.6,1.0,1.0
21,1,43,Cullman,Alabama,AL,21,29.4,23.9,34.9,76.2,69.4,83.0,22.2,17.0,27.4,35.0,26.0,44.0,27.6,21.9,33.3,10.0,6.5,13.5,11912.0,11129.0,2400.0,53.8,22.5,1.0,2.0
22,1,45,Dale,Alabama,AL,33,30.4,22.8,37.9,79.5,71.7,87.3,25.0,18.4,31.5,23.9,16.05,31.85,29.3,21.8,36.8,12.1,7.4,16.7,7831.0,7809.0,2314.0,24.6,22.6,2.0,1.0
23,1,47,Dallas,Alabama,AL,52,31.5,23.9,39.1,85.9,79.4,92.4,36.6,28.8,44.5,21.7,13.55,29.9,20.4,13.9,27.0,11.5,7.2,15.7,9242.0,6424.0,2302.0,101.4,38.3,1.0,2.0
24,1,49,DeKalb,Alabama,AL,24,37.0,30.4,43.6,80.7,74.0,87.5,24.3,18.2,30.3,35.3,25.8,44.8,19.1,13.6,24.6,7.8,4.6,11.0,12260.0,8411.0,2351.0,34.2,19.3,1.0,2.0
25,1,51,Elmore,Alabama,AL,19,27.7,22.0,33.4,85.0,78.6,91.3,24.8,19.2,30.4,23.0,15.6,30.4,22.6,17.1,28.1,5.5,3.2,7.8,8320.0,7792.0,2167.0,33.8,16.2,1.0,2.0
26,1,53,Escambia,Alabama,AL,51,34.3,26.3,42.3,87.1,80.5,93.6,33.7,25.4,41.9,24.2,15.2,33.3,26.1,18.1,34.1,11.4,6.3,16.5,6490.0,5064.0,1476.0,57.8,26.3,1.0,2.0
27,1,55,Etowah,Alabama,AL,6,34.1,29.6,38.5,81.4,76.0,86.8,27.1,22.8,31.3,38.2,31.2,45.2,31.5,26.8,36.2,10.2,7.5,12.9,16180.0,15265.0,4508.0,72.7,42.6,1.0,2.0
28,1,57,Fayette,Alabama,AL,63,26.95,20.0,33.8,83.9,77.8,90.1,32.7,22.8,42.6,24.15,15.2,33.1,21.2,13.0,29.4,12.7,6.6,18.8,2358.0,2544.0,731.0,60.3,16.5,2.0,2.0
29,1,59,Franklin,Alabama,AL,49,28.9,19.0,38.9,85.5,75.7,95.3,21.8,15.25,28.35,21.6,12.7,30.55,19.549999999999997,13.149999999999999,26.0,7.2,2.9,11.6,5977.0,4871.0,1320.0,35.8,22.8,1.0,2.0
30,1,61,Geneva,Alabama,AL,64,20.2,14.05,26.3,86.6,79.75,93.5,34.5,24.5,44.5,25.099999999999998,16.0,34.3,24.9,16.95,32.85,9.4,4.0,14.7,4759.0,4173.0,1118.0,35.0,15.5,2.0,1.0
31,1,63,Greene,Alabama,AL,75,21.6,13.600000000000001,29.6,89.6,81.80000000000001,97.4,20.15,11.45,28.95,17.05,9.0,25.15,20.299999999999997,11.95,28.700000000000003,7.1,3.9,14.5,2384.0,1287.0,461.0,31.1,10.4,1.0,1.0
32,1,65,Hale,Alabama,AL,76,24.95,17.1,32.75,87.75,79.65,95.85,25.05,16.75,33.4,27.2,17.9,36.55,19.15,10.45,27.85,5.2,0.3,10.1,3422.0,2358.0,825.0,27.3,5.5,1.0,1.0
33,1,67,Henry,Alabama,AL,63,23.55,15.399999999999999,31.650000000000002,82.8,76.94999999999999,88.75,25.25,16.65,33.9,18.2,8.5,27.95,22.549999999999997,15.5,29.65,8.0,1.8,14.2,2556.0,2583.0,631.0,18.1,30.1,2.0,2.0
34,1,69,Houston,Alabama,AL,23,32.9,27.6,38.3,77.7,71.3,84.1,29.5,24.2,34.9,34.0,25.8,42.2,25.0,19.8,30.1,8.8,5.5,12.0,14235.0,9901.0,2416.0,106.1,47.7,1.0,2.0
35,1,71,Jackson,Alabama,AL,22,34.0,27.3,40.7,82.3,75.5,89.2,29.4,22.3,36.5,29.2,19.5,38.9,37.0,29.5,44.5,6.1,3.1,9.1,7294.0,7744.0,1978.0,70.8,29.8,1.0,2.0
36,1,73,Jefferson,Alabama,AL,3,29.0,27.1,31.0,79.1,76.8,81.4,27.1,25.2,29.1,31.9,29.0,34.7,23.4,21.5,25.3,9.7,8.5,10.8,87428.0,89884.0,21625.0,154.9,71.5,1.0,2.0
37,1,75,Lamar,Alabama,AL,63,24.5,16.4,32.55,82.55,73.7,91.4,25.0,16.9,33.15,24.15,15.2,33.1,20.95,13.100000000000001,28.9,3.2,0.1,6.3,2237.0,2648.0,702.0,13.4,20.1,2.0,2.0
38,1,77,Lauderdale,Alabama,AL,21,25.8,21.0,30.5,77.1,70.2,84.1,23.8,19.0,28.5,34.7,26.6,42.8,21.1,16.1,26.0,6.7,4.2,9.2,11424.0,13168.0,3134.0,58.2,49.0,1.0,2.0
39,1,79,Lawrence,Alabama,AL,32,31.9,22.9,40.9,85.2,76.5,93.9,19.9,12.6,27.1,26.349999999999998,16.8,36.0,28.5,19.4,37.5,9.2,4.3,14.1,5396.0,3526.0,1074.0,28.9,8.7,1.0,1.0
40,1,81,Lee,Alabama,AL,22,25.9,21.1,30.6,74.9,68.0,81.8,21.7,16.9,26.5,24.5,18.0,31.1,27.1,21.7,32.6,7.8,5.3,10.4,17335.0,9041.0,2465.0,63.3,26.0,1.0,2.0
41,1,83,Limestone,Alabama,AL,19,30.4,23.8,37.1,79.5,71.5,87.6,26.0,18.3,33.7,16.5,9.5,23.55,25.0,18.4,31.7,8.1,4.5,11.8,8934.0,7024.0,1778.0,39.7,15.6,1.0,2.0
42,1,85,Lowndes,Alabama,AL,66,18.9,14.3,23.450000000000003,82.05,76.85,87.3,22.1,16.75,27.45,19.2,12.350000000000001,26.1,19.5,14.45,24.65,9.6,1.4,17.7,2951.0,1326.0,507.0,15.3,7.6,1.0,2.0
43,1,87,Macon,Alabama,AL,44,24.25,17.15,31.3,89.85,83.45,96.15,27.6,19.55,35.7,22.9,13.600000000000001,32.25,15.7,7.4,24.0,13.6,6.7,20.6,4325.0,2862.0,781.0,26.3,21.9,1.0,1.0
44,1,89,Madison,Alabama,AL,4,22.9,20.0,25.7,75.6,71.7,79.6,23.1,20.0,26.1,24.9,20.2,29.6,21.3,18.4,24.2,6.5,4.9,8.1,35743.0,32428.0,5431.0,95.2,46.6,1.0,2.0
45,1,91,Marengo,Alabama,AL,67,22.5,15.7,29.3,80.45,71.75,89.2,25.15,17.85,32.5,23.8,14.3,33.4,15.6,6.2,25.0,11.3,4.6,18.1,4074.0,2816.0,862.0,54.8,13.7,1.0,2.0
46,1,93,Marion,Alabama,AL,49,21.7,14.5,28.85,84.8,76.9,92.7,30.9,21.8,40.0,27.4,18.05,36.85,24.8,16.85,32.75,10.1,4.8,15.4,5205.0,4619.0,1284.0,53.1,26.5,2.0,2.0
47,1,95,Marshall,Alabama,AL,22,34.8,29.2,40.5,82.1,76.6,87.6,27.5,21.6,33.4,36.8,28.8,44.7,31.6,26.0,37.2,7.2,4.3,10.1,14593.0,12686.0,3083.0,63.1,33.9,2.0,2.0
