,State_FIPS_Code,County_FIPS_Code,Diabetes,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,RHI_LBW_Ind,RHI_VLBW_Ind,RHI_Premature_Ind,RHI_Under_18_Ind,RHI_Over_40_Ind,RHI_Unmarried_Ind,RHI_Late_Care_Ind,RHI_Infant_Mortality_Ind,RHI_IM_Wh_Non_Hisp_Ind,RHI_IM_Bl_Non_Hisp_Ind,RHI_IM_Hisp_Ind,RHI_IM_Neonatal_Ind,RHI_IM_Postneonatal_Ind,RHI_Brst_Cancer_Ind,RHI_Col_Cancer_Ind,RHI_CHD_Ind,RHI_Homicide_Ind,RHI_Lung_Cancer_Ind,RHI_MVA_Ind,RHI_Stroke_Ind,RHI_Suicide_Ind,RHI_Injury_Ind
39,1,83,8.1,Limestone,Alabama,AL,19,8,8,8,8,5,5,7,8,8,-1,-1,5,8,5,5,5,7,5,8,6,8,5
40,1,85,9.6,Lowndes,Alabama,AL,66,8,8,8,8,5,8,6,8,-1,8,-1,8,8,5,5,5,8,5,8,6,5,5
41,1,87,13.6,Macon,Alabama,AL,44,8,8,8,8,7,8,8,8,-1,8,-1,8,8,8,8,8,8,6,6,8,6,7
42,1,89,6.5,Madison,Alabama,AL,4,8,8,8,8,7,5,5,8,8,8,-1,8,8,8,5,5,7,8,8,8,5,5
43,1,91,11.3,Marengo,Alabama,AL,67,8,6,8,6,7,8,6,8,6,8,-1,8,8,8,5,6,8,8,8,8,5,7
44,1,93,10.1,Marion,Alabama,AL,49,8,8,8,6,5,5,5,8,8,-1,-1,5,8,5,5,8,-1,8,8,6,6,8
45,1,95,7.2,Marshall,Alabama,AL,22,8,5,8,8,5,5,8,6,8,-1,8,5,8,5,5,5,5,8,8,8,8,7
46,1,97,6.6,Mobile,Alabama,AL,5,8,8,8,8,5,6,5,8,8,6,-1,8,8,8,8,8,8,8,8,6,6,7
47,1,99,8.1,Monroe,Alabama,AL,67,6,8,8,6,5,6,8,6,5,5,-1,5,6,5,6,6,8,6,6,6,8,5
48,1,101,8.5,Montgomery,Alabama,AL,7,8,8,8,6,5,8,6,8,6,5,-1,8,6,8,5,5,8,8,6,6,5,5
49,1,103,6.7,Morgan,Alabama,AL,14,8,6,8,8,5,5,8,5,5,5,8,5,8,5,8,5,8,8,8,6,8,7
